t,count
1757643895.034841,15
1757643895.569649,16
1757643896.130115,16
1757643896.7738292,15
1757643897.0087547,15
1757643897.7059658,14
1757643898.1286392,14
1757643899.7870789,14
1757643900.747496,14
1757643902.0855134,14
1757643904.5609572,14
1757643905.390269,14
1757643905.5782776,14
1757643906.2013762,14
1757643907.0361254,14
1757643908.711026,14
1757643909.3176527,15
1757643910.4130852,15
1757643910.7895882,15
1757643911.8559487,15
1757643913.761462,15
1757643914.3084326,15
1757643915.0007868,15
1757643916.5086677,15
1757643918.644789,15
1757643919.5255706,15
1757643920.2338629,15
1757643921.2263114,14
1757643923.038614,14
1757643923.5099258,13
1757643925.4410937,15
1757643926.9031942,15
1757643928.670355,13
1757643929.0297124,14
1757643929.9336915,14
1757643930.413114,15
1757643931.001509,14
1757643931.9592805,15
1757643932.970886,15
1757643933.3897643,14
1757643933.5634825,14
1757643933.7644694,14
1757643933.9679914,14
1757643934.3390765,14
1757643934.715635,13
1757643935.4922917,13
1757643935.8244872,13
1757643936.3477502,13
1757643936.7237601,15
1757643937.4737747,14
1757643938.3301098,13
1757643938.8894446,12
1757643940.0000708,12
1757643940.8789845,12
1757643941.7882705,11
1757643942.8448102,12
1757643943.3481011,12
1757643943.755136,12
1757643944.4663744,13
1757643944.6997678,12
1757643945.728129,13
1757643946.5777054,11
1757643946.8519008,12
1757643947.1359239,11
1757643947.4915442,10
1757643947.8676999,10
1757643948.2545931,11
1757643948.619804,11
1757643948.9296505,11
1757643949.528121,12
1757643949.8617792,12
1757643950.2034743,12
1757643950.557915,13
1757643950.8494248,12
1757643951.2088363,12
1757643951.5930967,12
1757643951.9288487,12
1757643952.4547274,13
1757643952.958179,14
1757643953.5743983,14
1757643953.910517,15
1757643954.3424153,15
1757643954.7122943,15
1757643955.0368032,15
1757643955.5012848,15
1757643956.3397017,14
1757643956.677446,14
1757643957.0141938,15
1757643957.242939,15
1757643957.5896006,14
1757643957.9826844,14
1757643958.2092001,12
1757643958.7871952,12
1757643959.156985,13
1757643959.6669662,13
1757643960.0180447,13
1757643960.358774,13
1757643960.7411313,13
1757643961.1469197,13
1757643961.5260892,12
1757643962.0872815,11
1757643962.9013932,12
1757643963.3418164,12
1757643965.0035002,11
1757643966.7938235,11
1757643967.6955006,11
1757643968.325066,11
1757643969.2188387,11
1757643969.5245283,12
1757643969.9210844,12
1757643970.5165951,12
1757643971.1969779,12
1757643971.7426965,12
1757643972.259929,13
1757643972.6673458,14
1757643973.1066995,14
1757643973.4219303,14
1757643973.8169098,13
1757643974.2520928,13
1757643974.9977665,13
1757643975.6431854,13
1757643976.1107352,14
1757643976.6775775,13
1757643977.5059135,13
1757643978.3701942,14
1757643978.6785612,14
1757643979.1195214,15
1757643979.4821022,15
1757643980.018813,15
1757643980.3474314,15
1757643980.7497385,14
1757643981.4766958,14
1757643982.2549722,14
1757643982.6591554,14
1757643983.107747,14
1757643983.5286615,14
1757643983.8158238,14
1757643984.1151557,14
1757643984.4359004,14
1757643984.6981301,14
1757643984.9307456,14
1757643985.4739506,14
1757643985.8401105,13
1757643986.4270782,13
1757643987.108289,12
1757643987.468368,11
1757643987.7985425,11
1757643988.1217203,11
1757643988.4427054,11
1757643988.7733302,11
1757643989.1761718,13
1757643989.5607464,13
1757643990.3095179,13
1757643990.735551,13
1757643991.0689232,13
1757643991.479864,14
1757643991.778581,14
1757643992.0614092,14
1757643992.4786456,13
1757643992.8413486,13
1757643993.3740609,12
1757643993.863409,11
1757643994.173214,11
1757643994.5822585,13
1757643995.0670538,14
1757643995.6276517,13
1757643996.0450044,13
1757643996.43866,13
1757643996.7478797,13
1757643997.0517952,13
1757643997.5448885,13
1757643997.862059,13
1757643998.2746215,13
1757643999.049122,12
1757643999.3793714,12
1757644000.1587746,12
1757644001.115659,12
1757644001.864089,13
1757644002.2444723,12
1757644002.7031345,13
1757644003.102745,13
1757644003.6045587,13
1757644004.1855774,13
1757644004.9054587,13
1757644005.2660398,14
1757644005.603747,14
1757644005.986739,13
1757644006.2191541,14
1757644006.8969646,14
1757644007.2455418,14
1757644007.9777932,14
1757644008.2478802,14
1757644009.0650136,13
1757644009.4800656,13
1757644010.0683901,13
1757644010.877244,13
1757644011.53343,13
1757644012.0124164,12
1757644012.269217,13
1757644012.6063697,13
1757644013.0562935,13
1757644013.3655689,13
1757644014.1092396,13
1757644015.2261055,12
1757644015.7368217,12
1757644017.4090827,12
1757644018.3148365,12
1757644018.5696821,12
1757644019.051098,12
1757644019.9829493,12
1757644020.3888283,12
1757644020.705549,12
